DNS resolver,Average(s),Min(s),Max(s)
Tenta,0.410246,0.041777,1.132417
Dyn,0.129093,0.051094,0.501749
Yandex.DNS,0.191561,0.046955,0.605656
AdGuard DNS,0.111539,0.013052,0.176182
CleanBrowsing,0.130629,0.109146,0.298246
UncensoredDNS,0.062437,0.032246,0.307557
Verisign,0.013523,0.011310,0.017146
OpenDNS Home,0.089459,0.013437,0.297145
OpenNIC,0.000000,0.000000,0.000000
Alternate DNS,0.176376,0.154559,0.395909
Comodo Secure DNS,0.057978,0.013793,0.186992
FreeDNS,0.143348,0.122715,0.316012
DNS.WATCH,0.329182,0.191721,0.668499
Cloudflare,0.033382,0.011434,0.134240
Quad9,0.192632,0.058780,0.631655
Neustar,0.196791,0.017390,0.710711
SafeDNS,0.069067,0.015235,0.204361
GreenTeamDNS,0.000000,0.000000,0.000000
Google,0.123154,0.013871,0.521929
SmartViper,0.000000,0.000000,0.000000
