DNS resolver,Average(ms),Min(ms),Max(ms)
Tenta,483.704000,371.504000,697.036000
Dyn,106.841000,20.680000,472.396000
Yandex.DNS,163.275000,42.178000,612.226000
AdGuard DNS,122.657000,22.240000,365.594000
CleanBrowsing,146.534000,117.316000,317.679000
UncensoredDNS,47.816000,22.301000,211.660000
Verisign,49.642000,14.745000,181.324000
OpenDNS Home,124.570000,10.871000,763.527000
OpenNIC,0,0,0
Alternate DNS,163.633000,131.688000,373.945000
Comodo Secure DNS,34.034000,11.902000,186.774000
FreeDNS,141.544000,122.892000,319.875000
DNS.WATCH,140.740000,18.684000,494.984000
Cloudflare,29.873000,12.277000,112.636000
Quad9,119.003000,19.675000,599.457000
Neustar,17.938000,16.752000,19.388000
SafeDNS,35.803000,11.450000,113.363000
GreenTeamDNS,0,0,0
Google,461.452000,436.508000,549.268000
SmartViper,0,0,0
