DNS resolver,Average(s),Min(s),Max(s)
Tenta,0.413718,0.004297,1.440194
Dyn,0.265386,0.095896,1.370727
Yandex.DNS,0.167939,0.031688,0.606445
AdGuard DNS,0.092594,0.003597,0.232202
CleanBrowsing,0.105882,0.006215,0.647854
UncensoredDNS,0.195927,0.030293,0.545927
Verisign,0.184712,0.004183,0.529755
OpenDNS Home,0.111549,0.003515,0.852683
OpenNIC,0.000000,0.000000,0.000000
Alternate DNS,0.266841,0.108034,0.724927
Comodo Secure DNS,0.097402,0.004748,0.292143
FreeDNS,0.235834,0.101293,0.602787
DNS.WATCH,0.383958,0.035572,2.688575
Cloudflare,0.046091,0.018881,0.125118
Quad9,0.080895,0.003902,0.574436
Neustar,0.136142,0.011946,0.463027
SafeDNS,0.143667,0.009542,0.677914
GreenTeamDNS,0.000000,0.000000,0.000000
Google,0.044775,0.006177,0.147713
SmartViper,0.000000,0.000000,0.000000
